"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.830536150E-1,-5.700000003E-2,-4.589999914E-1,1.909999996E-1,5.004108232E-1
9.930485380E-1,-7.599999756E-2,-4.589999914E-1,9.499999881E-2,4.748494409E-1
1.003056231E0,-7.599999756E-2,-4.690000117E-1,1.720000058E-1,5.052929968E-1
1.013051307E0,-8.600000292E-2,-4.210000038E-1,1.720000058E-1,4.628401514E-1
1.023048538E0,8.906000137E0,2.757999897E0,-2.387500000E1,2.563082181E1
1.033061615E0,1.218200016E1,1.537100029E1,-4.818199921E1,5.202089797E1
1.043049077E0,-7.065000153E1,2.068000078E0,7.845600128E1,1.055985013E2
1.053130461E0,-2.189299965E1,-3.936000109E0,7.267099762E1,7.599914095E1
1.063109461E0,3.073999882E0,-4.988999844E0,-2.987999916E0,6.577821692E0
1.073051692E0,3.390000105E0,-4.548999786E0,-8.330000043E-1,5.734055177E0
1.083069923E0,3.687000036E0,-3.734999895E0,-1.004999995E0,5.343614739E0
1.093091077E0,4.683000088E0,-2.996999979E0,-4.280000210E0,7.016473508E0
1.103064000E0,5.315000057E0,-1.809999943E0,-5.947000027E0,8.178761197E0
1.113050077E0,5.209000111E0,-5.450000167E-1,-5.688000202E0,7.732014839E0
1.123852846E0,3.361000061E0,4.499999881E-1,-2.565999985E0,4.252431930E0
1.133054846E0,2.624000072E0,4.399999976E-1,-2.565999985E0,3.696394500E0
1.143076846E0,2.183000088E0,4.300000072E-1,-1.292000055E0,2.572868736E0
1.153052615E0,1.924999952E0,5.260000229E-1,-1.177000046E0,2.316814612E0
1.163046000E0,1.608000040E0,6.510000229E-1,-1.350000024E0,2.198173156E0
1.173057461E0,1.368999958E0,8.809999824E-1,-1.761999965E0,2.398950964E0
1.183051000E0,1.292000055E0,9.279999733E-1,-2.624000072E0,3.068521545E0
1.193054000E0,1.473999977E0,8.899999857E-1,-2.815000057E0,3.299848668E0
1.203052769E0,1.743000031E0,5.740000010E-1,-2.786000013E0,3.336063726E0
1.213061692E0,1.695000052E0,-1.157999992E0,-2.565999985E0,3.286083548E0
1.223067154E0,-3.919999897E-1,-2.431999922E0,-2.183000088E0,3.291470339E0
1.233048769E0,-3.919999897E-1,-2.431999922E0,-2.183000088E0,3.291470339E0
1.243054923E0,-4.410200119E1,-6.675000191E0,1.731500053E1,4.784716690E1
1.253062077E0,-4.137300110E1,-7.718999863E0,2.011199951E1,4.664547891E1
1.263052000E0,-1.399199963E1,-7.179999948E-1,1.141499996E1,1.807190642E1
1.273053692E0,2.766999960E0,-2.800000086E-2,1.149000049E0,2.996209921E0
1.283051615E0,2.700000048E0,-5.700000003E-2,1.781000018E0,3.234997731E0
1.293065923E0,-3.973999977E0,-3.178999901E0,3.509999847E1,3.546700733E1
1.303052231E0,2.144999981E0,-6.550000191E0,6.016299820E1,6.055650155E1
1.313051384E0,4.940999985E0,-2.844000101E0,2.097299957E1,2.173404078E1
1.323070077E0,9.164999962E0,-3.398999929E0,4.979999959E-1,9.787667180E0
1.333054923E0,1.039099979E1,-3.380000114E0,9.355999947E0,1.438513165E1
1.343067692E0,5.506000042E0,-1.914999962E0,8.723999977E0,1.049244666E1
1.353048769E0,4.589999914E-1,-5.070000291E-1,2.757999897E0,2.841530125E0
1.363051384E0,-5.700000003E-2,-3.729999959E-1,1.215999961E0,1.273198296E0
1.373060615E0,-5.450000167E-1,-2.199999988E-1,5.074999809E0,5.108918485E0
1.383143154E0,-8.899999857E-1,-3.160000145E-1,1.695100021E1,1.697728966E1
1.393060231E0,1.838000059E0,-3.447000027E0,3.127799988E1,3.152099824E1
1.403052461E0,4.710999966E0,-2.651999950E0,5.362999916E0,7.615010999E0
1.413059308E0,3.466000080E0,9.760000110E-1,1.358999968E0,3.848715823E0
1.423049308E0,-1.205999970E0,1.465000033E0,5.745999813E0,6.051212678E0
1.433057384E0,-3.131000042E0,-1.430000067E-1,7.814000130E0,8.419157220E0
1.443169461E0,1.809999943E-1,-1.435999990E0,8.513999939E0,8.636147980E0
1.453405077E0,1.167999983E0,-1.618000031E0,1.140600014E1,1.157924813E1
1.463071308E0,1.090999961E0,-1.560999990E0,1.214299965E1,1.229143777E1
1.473049846E0,1.034000039E0,-1.024000049E0,1.119499969E1,1.128918732E1
1.483086769E0,1.435999990E0,6.029999852E-1,9.395000458E0,9.523221018E0
1.493059538E0,-1.529999971E-1,-7.080000043E-1,9.241000175E0,9.269345028E0
1.503045923E0,-2.680000067E-1,-1.465000033E0,9.767999649E0,9.880883880E0
1.513071231E0,4.589999914E-1,-1.235000014E0,9.413999557E0,9.505750559E0
1.523051615E0,1.620000005E-1,-8.040000200E-1,9.432999611E0,9.468587101E0
1.533065231E0,7.369999886E-1,-5.550000072E-1,9.595999718E0,9.640249197E0
1.543050615E0,8.709999919E-1,-3.059999943E-1,1.065900040E1,1.069890492E1
1.553052692E0,6.320000291E-1,-7.179999948E-1,1.059200001E1,1.063510283E1
1.563053923E0,2.010000050E-1,-1.090999961E0,9.739000320E0,9.801979859E0
1.573047461E0,4.210000038E-1,-7.559999824E-1,9.020999908E0,9.062406762E0
1.583067154E0,4.779999852E-1,-8.040000200E-1,9.807000160E0,9.851505071E0
1.593050461E0,7.469999790E-1,-5.929999948E-1,1.037199974E1,1.041575905E1
1.603051077E0,4.779999852E-1,-7.080000043E-1,1.020899963E1,1.024467772E1
1.613065923E0,2.960000038E-1,-6.600000262E-1,9.538000107E0,9.565388757E0
1.623052846E0,5.649999976E-1,-7.179999948E-1,9.510000229E0,9.553787382E0
1.633070615E0,5.170000196E-1,-7.659999728E-1,1.011299992E1,1.015513724E1
1.643051692E0,4.779999852E-1,-6.990000010E-1,9.644000053E0,9.681106446E0
1.653048923E0,4.690000117E-1,-7.469999790E-1,9.567000389E0,9.607573389E0
1.663054769E0,4.779999852E-1,-7.850000262E-1,9.671999931E0,9.715569551E0
1.673056308E0,5.450000167E-1,-7.179999948E-1,1.002700043E1,1.006743694E1
1.683058461E0,4.589999914E-1,-6.790000200E-1,1.002700043E1,1.006044033E1
1.693050384E0,4.399999976E-1,-7.080000043E-1,9.883000374E0,9.918092578E0
1.703065308E0,5.450000167E-1,-7.469999790E-1,9.633999825E0,9.678273948E0
1.713052000E0,4.589999914E-1,-6.700000167E-1,9.625000000E0,9.659203177E0
1.723053231E0,4.300000072E-1,-6.790000200E-1,9.767999649E0,9.801008018E0
1.733061538E0,5.170000196E-1,-7.369999886E-1,9.892999649E0,9.933876386E0
1.743053615E0,5.070000291E-1,-7.369999886E-1,1.002700043E1,1.006682450E1
1.753059846E0,4.589999914E-1,-6.990000010E-1,9.883000374E0,9.918315300E0
1.763050461E0,4.979999959E-1,-7.559999824E-1,9.873999596E0,9.915412648E0
1.773058461E0,4.300000072E-1,-7.559999824E-1,9.826000214E0,9.864416667E0
1.783046769E0,4.690000117E-1,-7.179999948E-1,9.663000107E0,9.700982222E0
1.793060846E0,4.880000055E-1,-7.179999948E-1,9.786999702E0,9.825427786E0
1.803052000E0,5.360000134E-1,-6.790000200E-1,1.014200020E1,1.017882631E1
1.813048154E0,5.070000291E-1,-8.040000200E-1,9.767999649E0,9.814136855E0
1.823053154E0,5.170000196E-1,-7.850000262E-1,9.826000214E0,9.870855802E0
1.833052231E0,5.170000196E-1,-7.080000043E-1,9.826000214E0,9.865030827E0
1.843052000E0,4.880000055E-1,-7.659999728E-1,9.652999878E0,9.695633378E0
1.853051846E0,4.880000055E-1,-6.890000105E-1,9.854000092E0,9.890105299E0
1.863048384E0,4.779999852E-1,-7.179999948E-1,9.854000092E0,9.891679624E0
1.873665692E0,4.979999959E-1,-7.469999790E-1,9.633999825E0,9.675741087E0
1.883053000E0,4.690000117E-1,-7.179999948E-1,9.920999527E0,9.957997621E0
1.893053461E0,4.880000055E-1,-7.469999790E-1,9.949999809E0,9.989927386E0
1.903047384E0,4.779999852E-1,-7.850000262E-1,9.701000214E0,9.744440167E0
1.913056923E0,5.070000291E-1,-7.179999948E-1,9.835000038E0,9.874198640E0
1.923174077E0,4.979999959E-1,-6.990000010E-1,9.854000092E0,9.891305414E0
1.933047538E0,4.690000117E-1,-7.179999948E-1,9.796999931E0,9.834464533E0
1.943052538E0,5.260000229E-1,-6.600000262E-1,9.930999756E0,9.966796487E0
1.953052154E0,5.070000291E-1,-6.600000262E-1,9.854000092E0,9.889083217E0
1.963051077E0,5.450000167E-1,-6.990000010E-1,9.729999542E0,9.770287463E0
1.973050769E0,4.589999914E-1,-7.369999886E-1,9.796999931E0,9.835398194E0
1.983049769E0,4.690000117E-1,-7.179999948E-1,9.758999825E0,9.796609749E0
1.993065461E0,4.880000055E-1,-7.559999824E-1,9.826000214E0,9.867115089E0
2.003053538E0,5.260000229E-1,-6.990000010E-1,9.854000092E0,9.892754663E0
2.013051000E0,5.070000291E-1,-6.700000167E-1,9.864000320E0,9.899719762E0
