"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.766330000E-1,2.099999934E-1,6.219999790E-1,1.005599976E1,1.007740617E1
3.867437700E-1,-1.529999971E-1,5.740000010E-1,9.883000374E0,9.900837408E0
3.966333080E-1,-1.529999971E-1,5.740000010E-1,9.987999916E0,1.000564977E1
4.066333080E-1,-9.279999733E-1,2.010000050E-1,9.949999809E0,9.995202907E0
4.162623850E-1,-9.279999733E-1,2.010000050E-1,9.949999809E0,9.995202907E0
4.271237700E-1,-4.779999852E-1,1.529999971E-1,1.008399963E1,1.009648164E1
4.400173080E-1,-2.870000005E-1,3.160000145E-1,1.071599960E1,1.072449871E1
4.466383850E-1,-8.140000105E-1,4.499999881E-1,9.644000053E0,9.688747754E0
4.585066930E-1,-8.600000292E-2,4.979999959E-1,9.050000191E0,9.064099704E0
4.666373080E-1,-8.600000292E-2,4.880000055E-1,9.451999664E0,9.464979538E0
4.766375390E-1,-3.799999878E-2,5.170000196E-1,1.010299969E1,1.011629061E1
4.871963850E-1,-1.899999939E-2,5.740000010E-1,9.864000320E0,9.880705406E0
4.966565390E-1,1.049999967E-1,5.260000229E-1,9.652999878E0,9.667890549E0
5.066551540E-1,5.170000196E-1,3.350000083E-1,9.835000038E0,9.854275203E0
5.166661540E-1,5.929999948E-1,3.540000021E-1,9.920999527E0,9.945008628E0
5.266913850E-1,2.489999980E-1,4.110000134E-1,1.001700020E1,1.002852008E1
5.387543850E-1,-1.430000067E-1,4.300000072E-1,1.018999958E1,1.020007061E1
5.466422310E-1,-4.690000117E-1,4.020000100E-1,1.018999958E1,1.020870494E1
5.574830770E-1,-3.540000021E-1,2.290000021E-1,1.010299969E1,1.011179310E1
5.667232310E-1,7.599999756E-2,2.290000021E-1,9.595999718E0,9.599032638E0
5.766393850E-1,2.680000067E-1,2.489999980E-1,9.432999611E0,9.440090395E0
5.868393850E-1,7.269999981E-1,2.290000021E-1,9.538000107E0,9.568407184E0
5.966625390E-1,9.670000076E-1,2.010000050E-1,9.510000229E0,9.561150264E0
6.066543850E-1,8.230000138E-1,1.239999980E-1,9.576999664E0,9.613096670E0
