"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.545973080E-1,5.831999779E0,-1.197000027E0,7.909999847E0,9.900157982E0
3.646044610E-1,6.110000134E0,-1.090999961E0,8.043999672E0,1.016013353E1
3.746081540E-1,6.052000046E0,-1.062999964E0,7.901000023E0,1.000911958E1
3.846085380E-1,5.861000061E0,-1.177000046E0,7.872000217E0,9.884585892E0
3.945983080E-1,5.285999775E0,-1.177000046E0,7.814000130E0,9.507140514E0
4.046024610E-1,5.229000092E0,-1.120000005E0,7.861999989E0,9.508306147E0
4.150745380E-1,5.199999809E0,-1.082000017E0,8.005999565E0,9.607640246E0
4.246069230E-1,5.065999985E0,-1.042999983E0,8.024999619E0,9.547398792E0
4.346020000E-1,4.855000019E0,-1.034000039E0,8.053999901E0,9.460818975E0
4.446093840E-1,4.826000214E0,-8.330000043E-1,8.024999619E0,9.401318309E0
4.546028460E-1,5.162000179E0,-7.850000262E-1,8.043999672E0,9.590015725E0
4.664795380E-1,5.248000145E0,-9.570000172E-1,7.767000198E0,9.422507449E0
4.745983840E-1,5.458000183E0,-8.809999824E-1,7.623000145E0,9.416796599E0
4.846033840E-1,5.755000114E0,-8.809999824E-1,7.699999809E0,9.653299143E0
4.945973080E-1,5.880000114E0,-9.089999795E-1,8.149999619E0,1.009074705E1
5.045973080E-1,5.631000042E0,-8.709999919E-1,8.149999619E0,9.944309742E0
5.146077690E-1,5.631000042E0,-8.709999919E-1,8.149999619E0,9.944309742E0
5.246083080E-1,5.478000164E0,-1.004999995E0,7.977000237E0,9.728876788E0
5.352297690E-1,5.458000183E0,-1.004999995E0,7.958000183E0,9.702038853E0
5.446045380E-1,5.401000023E0,-1.004999995E0,8.034999847E0,9.733552732E0
5.546016150E-1,5.467999935E0,-1.034000039E0,7.909999847E0,9.671415458E0
5.646028460E-1,5.564000130E0,-1.034000039E0,7.842999935E0,9.671602841E0
5.745996920E-1,5.545000076E0,-9.190000296E-1,7.861999989E0,9.664503646E0
5.846046920E-1,5.545000076E0,-9.190000296E-1,8.024999619E0,9.797561216E0
5.946123080E-1,5.553999901E0,-9.190000296E-1,8.024999619E0,9.802657539E0
6.046044610E-1,5.631000042E0,-9.279999733E-1,7.995999813E0,9.823714086E0
6.145999230E-1,5.639999866E0,-9.279999733E-1,8.072999954E0,9.891618205E0
6.246116150E-1,5.669000149E0,-9.190000296E-1,7.977000237E0,9.829275483E0
6.346062310E-1,5.572999954E0,-9.670000076E-1,7.909999847E0,9.724274528E0
6.446030000E-1,5.611999989E0,-9.279999733E-1,7.958000183E0,9.781896275E0
6.546098460E-1,5.688000202E0,-9.570000172E-1,8.130000114E0,9.968254471E0
6.646093080E-1,5.611999989E0,-9.480000138E-1,7.995999813E0,9.814747114E0
6.746005380E-1,5.564000130E0,-8.809999824E-1,7.881000042E0,9.687332970E0
6.846020000E-1,5.486999989E0,-9.760000110E-1,7.967999935E0,9.723619072E0
6.946040770E-1,5.486999989E0,-9.570000172E-1,8.043999672E0,9.784117161E0
7.046112310E-1,5.429999828E0,-1.120000005E0,8.121000290E0,9.833104487E0
7.146765380E-1,5.564000130E0,-9.089999795E-1,8.043999672E0,9.822948087E0
7.246029230E-1,5.564000130E0,-1.004999995E0,8.072999954E0,9.856036257E0
7.346088460E-1,5.678999901E0,-1.090999961E0,7.939000130E0,9.821865599E0
7.446204610E-1,5.775000095E0,-9.860000014E-1,8.053999901E0,9.959404425E0
7.546051540E-1,5.564000130E0,-1.004999995E0,8.062999725E0,9.847846821E0
7.646002310E-1,5.534999847E0,-1.090999961E0,7.901000023E0,9.708362663E0
7.746033840E-1,5.545000076E0,-1.024000049E0,7.834000111E0,9.652313696E0
7.845982310E-1,5.659999847E0,-8.999999762E-1,7.881000042E0,9.744524611E0
7.946200770E-1,5.534999847E0,-1.004999995E0,8.244999886E0,9.981296079E0
8.046027690E-1,5.458000183E0,-9.959999919E-1,7.842999935E0,9.606999009E0
8.146015380E-1,5.486999989E0,-9.279999733E-1,7.928999901E0,9.686970231E0
8.246184610E-1,5.486999989E0,-1.062999964E0,7.901000023E0,9.677961519E0
8.346053080E-1,5.583000183E0,-8.040000200E-1,7.709000111E0,9.552224337E0
8.446011540E-1,5.545000076E0,-9.190000296E-1,8.034999847E0,9.805753895E0
8.546060000E-1,5.497000217E0,-1.082000017E0,8.005999565E0,9.771579425E0
8.646083840E-1,5.448999882E0,-9.959999919E-1,8.102000237E0,9.814582188E0
8.747134610E-1,5.553999901E0,-8.999999762E-1,8.274000168E0,1.000579800E1
8.845985380E-1,5.745999813E0,-9.760000110E-1,8.187999725E0,1.005049399E1
8.946083840E-1,5.611999989E0,-1.024000049E0,7.814000130E0,9.674798086E0
9.045976150E-1,5.545000076E0,-9.480000138E-1,7.928999901E0,9.721870669E0
9.146146150E-1,5.506000042E0,-9.279999733E-1,8.092000008E0,9.831464008E0
9.246056920E-1,5.564000130E0,-9.860000014E-1,8.034999847E0,9.823009518E0
9.346075380E-1,5.526000023E0,-1.034000039E0,7.986999989E0,9.767190034E0
9.446136920E-1,5.631000042E0,-1.024000049E0,7.967999935E0,9.810492370E0
9.546237690E-1,5.534999847E0,-1.042999983E0,8.092000008E0,9.859236096E0
9.645980000E-1,5.515999794E0,-9.670000076E-1,8.015999794E0,9.778424998E0
9.745990770E-1,5.506000042E0,-9.480000138E-1,7.958000183E0,9.723399992E0
9.846024610E-1,5.467999935E0,-9.670000076E-1,7.814000130E0,9.586068555E0
9.946100770E-1,5.564000130E0,-9.959999919E-1,7.767000198E0,9.606060874E0
1.004610692E0,5.620999813E0,-9.670000076E-1,7.958000183E0,9.790837289E0
1.014976077E0,5.602000237E0,-1.024000049E0,8.053999901E0,9.863969645E0
1.024600769E0,5.572999954E0,-9.089999795E-1,8.062999725E0,9.843605743E0
1.034613846E0,5.497000217E0,-8.420000076E-1,7.958000183E0,9.708539659E0
1.044609538E0,5.486999989E0,-9.480000138E-1,7.814000130E0,9.595023237E0
1.055851846E0,5.478000164E0,-1.004999995E0,7.928999901E0,9.689558825E0
1.064636000E0,5.256999969E0,-1.062999964E0,7.977000237E0,9.612416469E0
1.074608000E0,5.285999775E0,-9.670000076E-1,7.977000237E0,9.618181502E0
1.084602923E0,5.372000217E0,-9.860000014E-1,7.958000183E0,9.651960902E0
1.094603231E0,5.448999882E0,-9.279999733E-1,7.958000183E0,9.689300830E0
1.104601000E0,5.755000114E0,-8.899999857E-1,7.814000130E0,9.745292418E0
1.114628538E0,5.842000008E0,-9.089999795E-1,7.901000023E0,9.868183542E0
1.124600923E0,5.918000221E0,-9.959999919E-1,8.053999901E0,1.004398611E1
1.134605692E0,5.918000221E0,-1.034000039E0,8.053999901E0,1.004782549E1
1.144601384E0,5.755000114E0,-1.052999973E0,8.034999847E0,9.939318780E0
1.154626231E0,5.545000076E0,-1.052999973E0,7.967999935E0,9.764469149E0
1.164602769E0,5.572999954E0,-1.062999964E0,7.881000042E0,9.710739368E0
1.174744000E0,5.620999813E0,-1.082000017E0,7.958000183E0,9.802863350E0
1.184605154E0,5.639999866E0,-9.860000014E-1,7.928999901E0,9.780124433E0
1.194605000E0,5.639999866E0,-9.670000076E-1,7.977000237E0,9.817190040E0
1.204615384E0,5.620999813E0,-9.480000138E-1,8.005999565E0,9.828040088E0
