"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.564402310E-1,4.059999943E0,-6.219999790E-1,8.159000397E0,9.134537262E0
3.664415390E-1,4.597000122E0,-7.080000043E-1,8.331999779E0,9.542321229E0
3.764430770E-1,5.199999809E0,-6.890000105E-1,8.312000275E0,9.828736826E0
3.864417690E-1,5.372000217E0,-7.469999790E-1,8.236000061E0,9.861444737E0
3.964519230E-1,5.515999794E0,-7.850000262E-1,8.369999886E0,1.005481859E1
4.064428460E-1,5.315000057E0,-6.990000010E-1,8.388999939E0,9.955558577E0
4.164510000E-1,5.372000217E0,-6.790000200E-1,8.475000381E0,1.005708998E1
4.275613850E-1,5.199999809E0,-6.890000105E-1,8.159000397E0,9.699691052E0
4.364713080E-1,5.142000198E0,-8.330000043E-1,8.168999672E0,9.688478244E0
4.464504620E-1,5.142000198E0,-7.559999824E-1,8.187999725E0,9.698197849E0
4.564448460E-1,5.065999985E0,-8.040000200E-1,8.072999954E0,9.564732100E0
4.666724620E-1,5.572999954E0,-8.040000200E-1,8.043999672E0,9.818893789E0
4.768805390E-1,6.129000187E0,-8.610000014E-1,8.274000168E0,1.033271712E1
4.864483850E-1,6.252999783E0,-9.190000296E-1,8.340999603E0,1.046502947E1
4.964516930E-1,1.041899967E1,-5.550000072E-1,7.210999966E0,1.268314234E1
5.064450770E-1,1.218200016E1,-2.193000078E0,7.612999916E0,1.453162568E1
5.170720770E-1,5.583000183E0,-2.269000053E0,9.145999908E0,1.095297068E1
5.279010770E-1,4.519999981E0,-1.695000052E0,7.709000111E0,9.095719197E0
5.364499230E-1,4.826000214E0,-9.670000076E-1,7.526999950E0,8.993391759E0
5.464499230E-1,5.497000217E0,-1.177000046E0,8.236000061E0,9.971661722E0
5.571056160E-1,5.497000217E0,-1.177000046E0,8.236000061E0,9.971661722E0
5.664456930E-1,5.343999863E0,-1.167999983E0,8.197999954E0,9.855443254E0
5.764449230E-1,5.678999901E0,-1.177000046E0,7.939000130E0,9.831789870E0
5.864452310E-1,5.861000061E0,-1.167999983E0,8.159000397E0,1.011359645E1
5.964461540E-1,6.157999992E0,-1.235000014E0,8.236000061E0,1.035750385E1
6.064467700E-1,5.572999954E0,-1.149000049E0,8.187999725E0,9.971051555E0
6.164437700E-1,5.229000092E0,-1.004999995E0,8.197999954E0,9.775462659E0
6.264518460E-1,5.142000198E0,-9.670000076E-1,8.197999954E0,9.725351320E0
6.364595390E-1,5.151999950E0,-1.004999995E0,8.244999886E0,9.774106179E0
6.464496930E-1,5.256999969E0,-9.670000076E-1,8.225999832E0,9.810107590E0
6.564450000E-1,5.123000145E0,-9.760000110E-1,8.187999725E0,9.707782755E0
6.664527700E-1,5.285999775E0,-1.034000039E0,8.255000114E0,9.856773133E0
6.764525390E-1,5.315000057E0,-9.670000076E-1,8.265000343E0,9.873932616E0
6.864520770E-1,5.334000111E0,-8.610000014E-1,8.274000168E0,9.881900473E0
6.964415390E-1,5.304999828E0,-9.480000138E-1,8.321999550E0,9.914504713E0
7.064466160E-1,5.104000092E0,-1.034000039E0,8.159000397E0,9.679321282E0
7.164397700E-1,4.913000107E0,-9.670000076E-1,8.159000397E0,9.572980024E0
7.264483850E-1,4.750000000E0,-9.480000138E-1,8.072999954E0,9.414591456E0
7.364500770E-1,5.056000233E0,-9.860000014E-1,8.043999672E0,9.552029370E0
7.464411540E-1,5.497000217E0,-9.670000076E-1,8.130000114E0,9.861490874E0
7.564463080E-1,5.727000237E0,-1.167999983E0,8.331999779E0,1.017767046E1
7.664546930E-1,5.545000076E0,-1.398000002E0,8.532999992E0,1.027197735E1
7.764643850E-1,5.334000111E0,-1.560999990E0,8.581000328E0,1.022359256E1
7.864568460E-1,6.664999962E0,-6.700000167E-1,7.651999950E0,1.016977029E1
7.964565390E-1,8.388999939E0,-6.600000262E-1,8.484999657E0,1.195015227E1
8.064519230E-1,8.513999939E0,-9.670000076E-1,8.772000313E0,1.226259652E1
8.164384620E-1,9.279999733E0,-1.235000014E0,8.628999710E0,1.273197770E1
8.264729230E-1,9.307999611E0,-2.144999981E0,8.312000275E0,1.266211792E1
8.364409230E-1,9.815999985E0,-2.086999893E0,7.728000164E0,1.266615217E1
8.464455390E-1,9.826000214E0,-2.068000078E0,8.187999725E0,1.295647498E1
8.564513850E-1,1.003600025E1,-2.193000078E0,8.293000221E0,1.320243928E1
8.675951540E-1,1.018999958E1,-1.981999993E0,8.340999603E0,1.331678226E1
8.768166160E-1,1.095600033E1,-1.483999968E0,8.446999550E0,1.391359050E1
8.864446930E-1,1.245899963E1,-9.570000172E-1,8.340999603E0,1.502380762E1
8.964456930E-1,1.162600040E1,-8.040000200E-1,8.340999603E0,1.433117496E1
9.064513850E-1,1.248799992E1,-3.729999959E-1,8.149999619E0,1.491682824E1
9.164413080E-1,1.400100040E1,2.290000021E-1,7.872000217E0,1.606389868E1
9.264536930E-1,1.693199921E1,4.399999976E-1,8.541999817E0,1.896976431E1
9.364487700E-1,1.857900047E1,6.320000291E-1,6.234000206E0,1.960717831E1
9.464438460E-1,1.835899925E1,5.839999914E-1,6.636000156E0,1.953024341E1
9.564467700E-1,2.061899948E1,1.140000001E-1,4.481999874E0,2.110081654E1
9.664451540E-1,1.893400002E1,-1.952999949E0,4.826000214E0,1.963672181E1
9.764400770E-1,1.874200058E1,-2.240999937E0,6.147999763E0,1.985151298E1
9.864426930E-1,1.694099998E1,-2.796000004E0,6.387000084E0,1.831963063E1
9.964506930E-1,1.722900009E1,-2.431999922E0,8.800999641E0,1.949899132E1
1.006455616E0,1.572500038E1,-2.039000034E0,1.151099968E1,1.959429182E1
1.016441539E0,1.788999939E1,-2.211999893E0,2.193000078E0,1.815913740E1
